title,company,location,salary,description,job_url,scraped_at
2026 Information Technology Internship,"Kinsale Management, Inc",N/A,N/A,N/A,https://www.indeed.com/rc/clk?jk=4084a062d8c414cf&bb=aE6vTPke-yyJvSaQW1IaO-nTGxHjmhW1s77-baNuk-gN2Qbd1o83vG20k9t34B3LmUNwIWwPkH31GSaJI66H31FDy8OfyjDRjqRXEnoemJLU70Q1Rp5E7-6Urn9zdtbzeYKH2c9xLCTOG6o_Nm2pjX0JbsG6Xge90NT2G8hDg0k%3D&xkcb=SoAa67M3rbvWv0A8_j0KbzkdCdPP&fccid=e03eae6bd8b71624&vjs=3,2025-10-30T18:27:00.998152
AI Technical Intern,Amida Technology Solutions,N/A,N/A,N/A,https://www.indeed.com/rc/clk?jk=b3adbf88b68bdc67&bb=aE6vTPke-yyJvSaQW1IaO9RRo3nvvXYHm_zJBcsVCRPZna6BSpwMFlbb3SJ08RkZVb6C_PynjVxX_NnxZFze1CslYnGLkncT44We-HK9d0_ZcSDponABVG7R9Sx3PSaHCPYwSKL1e8d69rbNTFsR-0i7u9nN7_mUmW8hlo9zu10%3D&xkcb=SoCH67M3rbvWv0A8_j0JbzkdCdPP&fccid=e38e779781ec6233&vjs=3,2025-10-30T18:27:01.038158
IT Intern - AI & Emerging Technologies,Dominion Energy,N/A,Internship,N/A,https://www.indeed.com/rc/clk?jk=8f2ec4129d9d78a6&bb=aE6vTPke-yyJvSaQW1IaO4x0rLMe5oIuhtC8CLev_5amnc3JvYwuJotLuMcTJYVhOPOKC3ToD9IbHsGyuCdqWrl-iL9u8Jz6zb6Q-pgV1VBao8dapg5oAFNHxohs7DAD0o8-aojzwxbniJRIq4gmKEwAqNusOaqhyHb6F9-845M%3D&xkcb=SoAz67M3rbvWv0A8_j0IbzkdCdPP&fccid=6a3ba7521cbe6c9d&vjs=3,2025-10-30T18:27:01.075727
"Advisory Intern, Risk Services - Technology | Multiple Locations Summer 2026",KPMG,N/A,Part-time,N/A,https://www.indeed.com/rc/clk?jk=66411d932d03d023&bb=aE6vTPke-yyJvSaQW1IaO58_iIMXW0pYQuUBCzgoAcHB1LzctskuUhp4mL9vBk4V-Ebohuz8BKk9UHLGsw0gldCuyawOx4kX_Pypi0k_wFByZHrOG8_kUQHIuL7pM3a2eGypmEVg6PPVhuT6nrFfo7IK7etReWJdIe5Ce80dwqc%3D&xkcb=SoAJ67M3rbvWv0A8_j0ObzkdCdPP&fccid=2dd390c3a48a7ed0&vjs=3,2025-10-30T18:27:01.153591
