title,company,location,salary,description,job_url,scraped_at
2026 Information Technology Internship,"Kinsale Management, Inc",N/A,N/A,N/A,https://www.indeed.com/rc/clk?jk=4084a062d8c414cf&bb=uuNTTIdQOfdzPnj2NKdGMkcPJpTRfOVYHqEcVe3gVcpS1CgfZYri-Lgq0NLICduoKNYw_BsH6CUO6IfRDNlt16RaZ7i_l6Gwf4j7Cdy56nGcj0c5IKeEtcka2mj6TXoUU-UshU7qUOf2acCamp9Qyr2rSVODWOcTgQ4FtRCmpb0%3D&xkcb=SoDv67M3rbvG2FAOlr0KbzkdCdPP&fccid=e03eae6bd8b71624&vjs=3,2025-10-30T18:24:45.710804
AI Technical Intern,Amida Technology Solutions,N/A,N/A,N/A,https://www.indeed.com/rc/clk?jk=b3adbf88b68bdc67&bb=uuNTTIdQOfdzPnj2NKdGMvHcn7joawglucNazLhfcomEYMXbMu_-hfZOKrZzKdDJuOhwtndj40OXPu7-ZoDJ0h9VHjq1NavQ1KDzTqYGeOY600wouqk1XNaUtqK-lqJmRmJ9BWLM5wwY-Ba964pU123YcbQBTDHXG9z-8yiQKsE%3D&xkcb=SoBy67M3rbvG2FAOlr0JbzkdCdPP&fccid=e38e779781ec6233&vjs=3,2025-10-30T18:24:45.742797
IT Intern - AI & Emerging Technologies,Dominion Energy,N/A,Internship,N/A,https://www.indeed.com/rc/clk?jk=8f2ec4129d9d78a6&bb=uuNTTIdQOfdzPnj2NKdGMirHdvA0EFZ_o33OEy8SfFGAF7uFQ-T4TBgWklZsNz7ge8NpW_uW_H0yML78zUMdOBsii35r3pjtKbqBdI9CRjB2dK-Dfgc7vAKKGNXlIBS8Uzs_kvRMpLZZwsF9A978snjeZzH9CWh2cOyco7sGNDY%3D&xkcb=SoDG67M3rbvG2FAOlr0IbzkdCdPP&fccid=6a3ba7521cbe6c9d&vjs=3,2025-10-30T18:24:45.767081
"Advisory Intern, Risk Services - Technology | Multiple Locations Summer 2026",KPMG,N/A,Part-time,N/A,https://www.indeed.com/rc/clk?jk=66411d932d03d023&bb=uuNTTIdQOfdzPnj2NKdGMhgOSU7binkGQK7pIxH27meMiwgbrFfWEknzD2v03D3WRs0vIlRG-YN2z6G0fcBkcD8h5TRua-TX2QgC2--SBs_NgYANlUZyVB62rgJlP0YZ8DqGig3-sgTH1jvaYNqngju6imfQHoZLW9CJVC3UnUs%3D&xkcb=SoD867M3rbvG2FAOlr0ObzkdCdPP&fccid=2dd390c3a48a7ed0&vjs=3,2025-10-30T18:24:45.835798
