title,company,location,salary,description,job_url,scraped_at
2026 Information Technology Internship,"Kinsale Management, Inc",N/A,Part-time,N/A,https://www.indeed.com/rc/clk?jk=4084a062d8c414cf&bb=0nJG8y8gzty4Of3yA9sOtm4fOUg86G4SLipj08elvFYEF3pSvmamC9UyLYevH_DAtwY1YEHnnUQQACITXMml4ReJlh5BU8vJBLQXX-amBbUM0Qvyp0Hd6ZQQB_tu_G_DpFEJ5WQyNYJ4Q6kzxR62ylcrkQVwv97m_vlcL_ajraY%3D&xkcb=SoD967M3tvVX5uTbhR0LbzkdCdPP&fccid=e03eae6bd8b71624&vjs=3,2025-09-18T18:21:30.745984
"Technology Intern - Richmond, VA (Summer 2026)",CoStar Group,N/A,Full-time,N/A,https://www.indeed.com/rc/clk?jk=8272fcf40c84c361&bb=0nJG8y8gzty4Of3yA9sOtrUf4OMEmS5YlxhIJC64bfd2ACj86PSw3yaDYc4M1NFBi26LNamWvqJNCCqmTbPrfga0uqqkhXo4yWiYPO95NnA8PxqwuyTS6fa61OmXkZzHsSMbpAlBCN6Tu8A-oY6He8_j4G_Fu0pdxvXcMmQwL54%3D&xkcb=SoDU67M3tvVX5uTbhR0JbzkdCdPP&fccid=644000bf52ae09d4&vjs=3,2025-09-18T18:21:30.795668
Software Development Internship,Timmons Group,N/A,Internship,N/A,https://www.indeed.com/rc/clk?jk=10412b18b624f977&bb=0nJG8y8gzty4Of3yA9sOtvqwlJbh3J-F18RZE-HhYuPqvzH59bObmheI8-MwYfmWqa5XjFNXmAjN3H86OG3143xE-c_kHMQwdViqdBb-Os4K6dZvCvjOQfVn0nG3gYhJqL-dOwrBFUt_nsSFUYlfe6tuzOJ5zWrODQPl5RqJVFI%3D&xkcb=SoAu67M3tvVX5uTbhR0CbzkdCdPP&fccid=953cf08792164aea&vjs=3,2025-09-18T18:21:30.994517
