title,company,location,salary,description,job_url,scraped_at
2026 Information Technology Internship,"Kinsale Management, Inc",N/A,Part-time,N/A,https://www.indeed.com/rc/clk?jk=4084a062d8c414cf&bb=5uvDQcWpF49JG-WDH03PLadw142OQ041MjsV8hDvkydLP0vPi8o2K5UNEK0VeL09bzUD3wIIzdEbsXfgqchRGSeD4LFfA6xPKk6oAAyff0mwoI6Eq9C85HLgkR98KabTx1TaGvHgFce0S5-vZE-9OlR3e6_I7Vxh9EYurTJCDXg%3D&xkcb=SoBe67M3rbX6uKST2R0KbzkdCdPP&fccid=e03eae6bd8b71624&vjs=3,2025-10-30T17:20:57.829545
AI Technical Intern,Amida Technology Solutions,N/A,Seasonal,N/A,https://www.indeed.com/rc/clk?jk=b3adbf88b68bdc67&bb=5uvDQcWpF49JG-WDH03PLZAz2QCYa9o_QJzSnvn3GMuG89OxlUpf4CJ_1D_Ki8iZdDQx0fagUeSPPz-XAvlwgwdo3ityrGZUKaVepwS-8qcuMT2WtLsGxX2QU8Y3tqW28nyLq4v0zTq6a7mX9Xjt6qTXUE0Z2aeo_Nr80SPhMbg%3D&xkcb=SoDD67M3rbX6uKST2R0JbzkdCdPP&fccid=e38e779781ec6233&vjs=3,2025-10-30T17:20:57.849738
IT Intern - AI & Emerging Technologies,Dominion Energy,N/A,Internship,N/A,https://www.indeed.com/rc/clk?jk=8f2ec4129d9d78a6&bb=5uvDQcWpF49JG-WDH03PLX86oZPgGslzGW1z20j5mdSFQesx9-sLSW4S8OWZkTlriQ_0hdGsizg2X1_n1tu3WcqGJODNF4AoMrcBBUhpBJ8zt7i8Ab4lnCfEfdOafx1brEIvAwBlq5FEqhy_h-201P-Uar_xNBwDWRWRd4bfSBU%3D&xkcb=SoB367M3rbX6uKST2R0IbzkdCdPP&fccid=6a3ba7521cbe6c9d&vjs=3,2025-10-30T17:20:57.870900
"Advisory Intern, Risk Services - Technology | Multiple Locations Summer 2026",KPMG,N/A,Part-time,N/A,https://www.indeed.com/rc/clk?jk=66411d932d03d023&bb=5uvDQcWpF49JG-WDH03PLR4-7pP-6D9G5D7d8Q0CB065HcYEi0DZdmv6BXLyMyoYLWL8U5XbFXlyFCqOzhchCBY3mZ30qKEiIlHS7pjqaK-Blo_Qf0nPXeN174EpXZWo2B2ut6ln_CpSX2Tc4tOrkI6T8wpeXtQOafn85cXBjWc%3D&xkcb=SoBN67M3rbX6uKST2R0ObzkdCdPP&fccid=2dd390c3a48a7ed0&vjs=3,2025-10-30T17:20:57.934720
