title,company,location,salary,description,job_url,scraped_at
2026 Information Technology Internship,"Kinsale Management, Inc",N/A,N/A,N/A,https://www.indeed.com/rc/clk?jk=4084a062d8c414cf&bb=tmk_UJG2eAsHggqgSJJrXl8DVFccfwUP_yySRJlNWTOmduoqsO10UQ_0HQjpSfGAv4caxKdeNW1TV7Wn3ta65d6LRdmX_fXqxnln8JAg1DayAlNEAmqNeEa7bct5jrsAAtYnHeOc7RrUD-Zx3HHZL0NZMqIheU7HSeMUf5x_Puc%3D&xkcb=SoC_67M3rtgSYVyMbZ0LbzkdCdPP&fccid=e03eae6bd8b71624&vjs=3,2025-11-06T17:22:39.670301
AI Technical Intern,Amida Technology Solutions,N/A,N/A,N/A,https://www.indeed.com/rc/clk?jk=b3adbf88b68bdc67&bb=tmk_UJG2eAsHggqgSJJrXpO4mm4sP8FZDn5X2F4nK92ffLFujJVnh16dp1F2Qlnue0unBZLXsE82X1Cm-c_5bLfSsNtwdgf3fS31LL3X3FbdIl7evNh9uVaEL0bSbptBgspLwc0m-E3EMsCQDSeMayRnf7I311lGm4WEPPKYc8k%3D&xkcb=SoAL67M3rtgSYVyMbZ0KbzkdCdPP&fccid=e38e779781ec6233&vjs=3,2025-11-06T17:22:39.705660
AI Technical Intern,Amida Technology Solutions,N/A,N/A,N/A,https://www.indeed.com/viewjob?jk=abcdef0123456789,2025-11-06T17:22:39.729242
